,brand,jenis,bentuk_formula
415,SENTRA HARA,Kaptan,Tepung (Powder)
416,PADI SAWIT ASP 27,Dolomit,Butiran (Granular)
417,Orinit,Lainnya,Cair (Liquid)
418,LionTIN,Hara Makro Majemuk,Tepung (Powder)
419,AGINTA,Dolomit,Butiran (Granular)
420,Kreasi,Fosfat Alam untuk pertanian,Butiran (Granular)
421,SAWIT PHOSKAH 15-15-15 ,NPK padat,Butiran (Granular)
422,Bio Mangkuto,Hayati Majemuk,Cair (Liquid)
423,MULTIERA ,NPK padat,Butiran (Granular)
424,BRISH WITE NETRALIS,Pupuk Organik,Butiran (Granular)
425,PATIGAN,Dolomit,Tepung (Powder)
426,KAKIMAS,Fosfat Alam untuk pertanian,Tepung (Powder)
427,LODRIN,NPK padat,Butiran (Granular)
428,No - Ta - Yam,Hayati Majemuk,Cair (Liquid)
429,T.C.P - K,Lainnya,Cair (Liquid)
430,FRESHTAN,Lainnya,Cair (Liquid)
431,JADI MAS,Fosfat Alam untuk pertanian,Lain-lainnya
432,STARTAN,Hara Makro Majemuk,Cair (Liquid)
433,Phanbon Malaka,Hara Micro Tunggal,Butiran (Granular)
434,ELLVO HARA,Kaptan,Butiran (Granular)
435,SIRIWANGI,NPK padat,Butiran (Granular)
436,AGINTA,NPK padat,Butiran (Granular)
437,GADING MURNI,Dolomit,Butiran (Granular)
438,BAPAK IBU TANI,Pupuk Organik,Butiran (Granular)
439,MS,NPK padat,Butiran (Granular)
440,HX-NITRO,Ammonium chlorida,Butiran (Granular)
441,Daun Buah,Urea,Prill
442,MALIKA,Kaptan,Tepung (Powder)
443,FT,NPK padat,Butiran (Granular)
444,CAKRA PANDAWA,Potassium Nitrat,Prill
445,TOPSKA,Dolomit,Butiran (Granular)
446,SAPI LIAR,Dolomit,Butiran (Granular)
447,Cap Banteng,Dolomit,Tepung (Powder)
448,DECOTRENT,Hayati Majemuk,Tepung (Powder)
449,MOSTERA,Dolomit,Butiran (Granular)
450,BEENSIIP,Senyawa Humat,Tepung (Powder)
451,BIO FARMING,Pupuk Organik,Cair (Liquid)
452,POWER BUMI,Pupuk Organik,Cair (Liquid)
453,GG,Pupuk Organik,Cair (Liquid)
454,KOKA,NPK padat,Butiran (Granular)
455,FINBOR,Lainnya,Tepung (Powder)
456,ERTAN,Nitrogen Phosphate,Cair (Liquid)
457,AGRIMORE-N,NPK padat,Butiran (Granular)
458,KALIMAGSU,Potassium Magnesium Sulfate,Tepung (Powder)
459,SAFA,Fused Magnesium Phosphate (FMP),Butiran (Granular)
460,SANTAGROW,Potassium Nitrat,Prill
461,KJY,Dolomit,Tepung (Powder)
462,PLANTA PLUS,NPK padat,Tablet
463,BMNP 25-15,Mono Ammonium Phosphate,Butiran (Granular)
464,Mentari,NPK padat,Butiran (Granular)
465,PROGANIC PROSPERO,Lainnya,Tepung (Powder)
466, BINTANG TANI,Kalium Klorida (KCl),Tepung (Powder)
467,MerokeKALINITRA,Lainnya,Prill
468,PRIMAVIT,Lainnya,Tepung (Powder)
469,LOB Star Biodecomposer,Hayati Majemuk,Cair (Liquid)
470,VINTONIC SUPER,Lainnya,Cair (Liquid)
471,PUTRI ANGGUN,Pupuk Organik,Tepung (Powder)
472,BM FOLIAR GROW AMINIC,Lainnya,Cair (Liquid)
473,Thorganik,Pupuk Organik,Butiran (Granular)
474,BELLARUSIA,Fosfat Alam untuk pertanian,Butiran (Granular)
475,PANDORA,Hayati Majemuk,Tepung (Powder)
476,CAKRA PANDAWA,Hara Makro Majemuk,Lain-lainnya
477,Dolomit Premium 100,Dolomit,Tepung (Powder)
478,BIO CLAY,Senyawa Humat,Tepung (Powder)
479,Cap Bunga Merah,NPK padat,Butiran (Granular)
480,Petrokimia Gresik,Hayati Majemuk,Butiran (Granular)
481,ZEOLITE BEST,Zeolit,Butiran (Granular)
482,CALYX,Lainnya,Tepung (Powder)
483,LAO YING,Amonium Sulfat (ZA),Butiran (Granular)
484,PROVIT ORANGE,NPK padat,Lain-lainnya
485,KANIFOS,Dolomit,Butiran (Granular)
486,PUKALET,NPK padat,Butiran (Granular)
487,TURRIMA,Lainnya,Cair (Liquid)
